Date,Open,High,Low,Close*,Adj Close**,Volume
"May 26, 2023","32,795.50","33,162.06","32,795.50","33,093.34","33,093.34","330,290,000"
"May 25, 2023","32,854.26","32,870.43","32,586.56","32,764.65","32,764.65","364,670,000"
"May 24, 2023","33,021.76","33,031.75","32,752.44","32,799.92","32,799.92","246,180,000"
"May 23, 2023","33,190.60","33,310.17","33,013.29","33,055.51","33,055.51","291,550,000"
"May 22, 2023","33,408.54","33,512.30","33,207.85","33,286.58","33,286.58","268,900,000"
"May 19, 2023","33,582.95","33,652.90","33,336.66","33,426.63","33,426.63","315,210,000"
"May 18, 2023","33,374.56","33,579.91","33,212.09","33,535.91","33,535.91","333,070,000"
"May 17, 2023","33,092.48","33,472.38","33,050.41","33,420.77","33,420.77","307,130,000"
"May 16, 2023","33,275.37","33,290.85","33,006.19","33,012.14","33,012.14","246,680,000"
"May 15, 2023","33,321.21","33,400.30","33,161.93","33,348.60","33,348.60","224,020,000"
"May 12, 2023","33,370.58","33,406.40","33,110.61","33,300.62","33,300.62","227,570,000"
"May 11, 2023","33,383.89","33,389.88","33,127.70","33,309.51","33,309.51","298,000,000"
"May 10, 2023","33,707.20","33,772.09","33,239.45","33,531.33","33,531.33","271,180,000"
"May 09, 2023","33,589.85","33,656.40","33,509.72","33,561.81","33,561.81","232,940,000"
"May 08, 2023","33,715.15","33,747.49","33,509.23","33,618.69","33,618.69","225,680,000"
"May 05, 2023","33,248.55","33,748.43","33,248.55","33,674.38","33,674.38","316,350,000"
"May 04, 2023","33,347.78","33,354.86","32,937.50","33,127.74","33,127.74","305,160,000"
"May 03, 2023","33,726.64","33,811.84","33,396.05","33,414.24","33,414.24","286,900,000"
"May 02, 2023","34,017.62","34,017.75","33,436.66","33,684.53","33,684.53","274,460,000"
"May 01, 2023","34,116.81","34,257.83","34,030.14","34,051.70","34,051.70","244,190,000"
"Apr 28, 2023","33,797.43","34,104.56","33,728.40","34,098.16","34,098.16","354,310,000"
"Apr 27, 2023","33,381.66","33,859.75","33,374.65","33,826.16","33,826.16","343,240,000"
"Apr 26, 2023","33,596.34","33,645.83","33,235.85","33,301.87","33,301.87","321,170,000"
"Apr 25, 2023","33,828.34","33,875.49","33,525.39","33,530.83","33,530.83","297,880,000"
"Apr 24, 2023","33,805.04","33,891.15","33,726.09","33,875.40","33,875.40","252,020,000"
"Apr 21, 2023","33,793.60","33,858.83","33,688.57","33,808.96","33,808.96","291,080,000"
"Apr 20, 2023","33,740.60","33,875.39","33,677.74","33,786.62","33,786.62","307,910,000"
"Apr 19, 2023","33,889.83","33,957.98","33,814.65","33,897.01","33,897.01","251,490,000"
"Apr 18, 2023","33,965.16","34,018.62","33,791.89","33,976.63","33,976.63","253,570,000"
"Apr 17, 2023","33,930.46","33,991.23","33,796.91","33,987.18","33,987.18","234,530,000"
"Apr 14, 2023","33,981.71","34,082.94","33,730.85","33,886.47","33,886.47","276,720,000"
"Apr 13, 2023","33,668.97","34,054.99","33,605.17","34,029.69","34,029.69","277,230,000"
"Apr 12, 2023","33,764.21","33,895.43","33,593.32","33,646.50","33,646.50","260,300,000"
"Apr 11, 2023","33,586.75","33,781.29","33,586.75","33,684.79","33,684.79","241,430,000"
"Apr 10, 2023","33,425.25","33,590.24","33,343.43","33,586.52","33,586.52","232,920,000"
"Apr 06, 2023","33,420.96","33,525.96","33,325.37","33,485.29","33,485.29","258,680,000"
"Apr 05, 2023","33,394.60","33,543.84","33,376.27","33,482.72","33,482.72","286,660,000"
"Apr 04, 2023","33,594.79","33,634.72","33,275.62","33,402.38","33,402.38","283,360,000"
"Apr 03, 2023","33,245.78","33,632.90","33,245.78","33,601.15","33,601.15","311,890,000"
"Mar 31, 2023","32,901.96","33,291.00","32,901.96","33,274.15","33,274.15","353,740,000"
"Mar 30, 2023","32,807.43","32,905.80","32,682.87","32,859.03","32,859.03","283,380,000"
"Mar 29, 2023","32,566.54","32,728.04","32,539.94","32,717.60","32,717.60","314,110,000"
"Mar 28, 2023","32,434.85","32,551.01","32,295.50","32,394.25","32,394.25","248,560,000"
"Mar 27, 2023","32,276.72","32,564.00","32,276.72","32,432.08","32,432.08","291,560,000"
"Mar 24, 2023","32,038.22","32,257.24","31,805.18","32,237.53","32,237.53","317,070,000"
"Mar 23, 2023","32,101.49","32,511.49","31,864.74","32,105.25","32,105.25","335,430,000"
"Mar 22, 2023","32,570.19","32,761.89","32,020.46","32,030.11","32,030.11","325,990,000"
"Mar 21, 2023","32,420.71","32,593.68","32,346.12","32,560.60","32,560.60","363,190,000"
"Mar 20, 2023","31,872.33","32,280.07","31,872.33","32,244.58","32,244.58","357,210,000"
"Mar 17, 2023","32,217.32","32,217.32","31,728.70","31,861.98","31,861.98","712,100,000"
"Mar 16, 2023","31,827.65","32,281.61","31,571.46","32,246.55","32,246.55","440,940,000"
"Mar 15, 2023","31,759.87","31,906.47","31,429.82","31,874.57","31,874.57","420,910,000"
"Mar 14, 2023","32,055.29","32,306.59","31,805.40","32,155.40","32,155.40","391,760,000"
"Mar 13, 2023","31,819.93","32,240.35","31,624.87","31,819.14","31,819.14","429,090,000"
"Mar 10, 2023","32,185.14","32,422.10","31,783.41","31,909.64","31,909.64","397,790,000"
"Mar 09, 2023","32,876.83","32,990.46","32,190.60","32,254.86","32,254.86","315,860,000"
"Mar 08, 2023","32,872.08","32,903.44","32,612.70","32,798.40","32,798.40","242,750,000"
"Mar 07, 2023","33,428.31","33,453.25","32,838.21","32,856.46","32,856.46","299,400,000"
"Mar 06, 2023","33,425.32","33,572.22","33,383.47","33,431.44","33,431.44","329,190,000"
"Mar 03, 2023","33,076.33","33,405.82","33,008.41","33,390.97","33,390.97","300,050,000"
"Mar 02, 2023","32,780.97","33,083.45","32,665.85","33,003.57","33,003.57","317,450,000"
"Mar 01, 2023","32,656.37","32,746.15","32,500.71","32,661.84","32,661.84","292,810,000"
"Feb 28, 2023","32,873.47","32,873.47","32,636.43","32,656.70","32,656.70","303,760,000"
"Feb 27, 2023","32,906.16","33,189.28","32,814.18","32,889.09","32,889.09","243,660,000"
"Feb 24, 2023","32,999.19","32,999.19","32,643.48","32,816.92","32,816.92","277,120,000"
"Feb 23, 2023","33,175.39","33,272.40","32,795.67","33,153.91","33,153.91","288,120,000"
"Feb 22, 2023","33,169.33","33,245.97","32,948.27","33,045.09","33,045.09","321,910,000"
"Feb 21, 2023","33,699.69","33,699.69","33,115.74","33,129.59","33,129.59","348,320,000"
"Feb 17, 2023","33,677.01","33,846.64","33,517.73","33,826.69","33,826.69","302,900,000"
"Feb 16, 2023","33,992.09","34,041.16","33,686.59","33,696.85","33,696.85","317,530,000"
"Feb 15, 2023","34,008.63","34,130.49","33,833.10","34,128.05","34,128.05","267,530,000"
"Feb 14, 2023","34,194.09","34,331.47","33,827.45","34,089.27","34,089.27","288,820,000"
"Feb 13, 2023","33,887.39","34,249.60","33,887.39","34,245.93","34,245.93","302,600,000"
"Feb 10, 2023","33,671.54","33,897.31","33,591.99","33,869.27","33,869.27","288,150,000"
"Feb 09, 2023","34,105.61","34,252.57","33,607.13","33,699.88","33,699.88","347,520,000"
"Feb 08, 2023","34,132.90","34,161.65","33,899.79","33,949.01","33,949.01","324,090,000"
"Feb 07, 2023","33,769.78","34,240.00","33,634.10","34,156.69","34,156.69","361,620,000"
"Feb 06, 2023","33,874.44","33,962.84","33,683.58","33,891.02","33,891.02","296,400,000"
"Feb 03, 2023","33,926.30","34,179.58","33,813.86","33,926.01","33,926.01","425,150,000"
"Feb 02, 2023","34,129.30","34,145.14","33,814.78","34,053.94","34,053.94","429,910,000"
